sort_4.24,any_farm,cow_id,quarter,cowid_quarter,cow_id_quarter_visit,lactation,date,visit,farm,order,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,scc,contam,contam_comment,dup_a_cfu_count,dup_b_cfu_count,more_than_2_org_present,actually_disclude,disclude_can't_determine_status,disclude_blind,disclude_dupmissing,disclude_samplingerror,disclude_contam,IMI_NAS_or_MAM,IMI_NAS_only,IMI_S_chromogenes,IMI_S_haemolyticus,IMI_S_simulans,IMI_S_equorum,IMI_S_agnetis,IMI_S_devriesei,IMI_S_warneri,IMI_S_xylosus,IMI_M_sciuri,IMI_S_auricularis,IMI_S_capitis,IMI_S_cohnii,IMI_S_epidermidis,IMI_M_fleurettii,IMI_S_gallinarum,IMI_S_hominis,IMI_S_pseudintermedius,IMI_S_saprophyticus,IMI_S_succinus,IMI_S_hyicus,IMI_M_vitilinus,IMI_2014env,IMI_2014opp,IMI_2014host,IMI_2017rel,IMI_2017host,IMI_2017env,quarter_position_dup,lactation_dup,lact_grp,first_DIM,first_hygiene_pick_one,farm_hygiene_avg,facility_type,bedding_facility_combo,bedding_material,pred_breed,herd_size,herd_size_cat,rolling_herd_avg,sel_feed,air_quality_prod,age_fac,lying_surface,bp_fed_on_pack,bp_num_cows_on_pack,bp_pack_area,bp_cow_density,bp_stock_dens_perc,wood_dried,wood_storage,bedding_conditioner,freq_add_new_bedding_stall_wk,freq_stall_scraping_wk,depth_bedding_stalls,bp_freq_tilling_wk,bp_depth_tilled_in,bp_attentiveness,bp_bedding_depth,milking_sys,forestrip,towel_num,gloves,mast_det_recc,mast_record,culture_mast,culture_scc,culture_fresh,culture_dry,culture_loc,dry_prod,sel_supp,ind_hygiene_a,ind_hygiene_b,ind_hygiene_avg
11,BJ,757_BJ,LF,757_BJ_LF,757_BJ_LF_first,1,12.17.2019,first,BJ,1,kocuria,yes1,NA,NA,NA,NA,NA,NA,1,bj001,kocuria species,yes_from_cns_to_kocuria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,2,c,2,3000,NA,NA,3,1,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,1,first,156,2,2.5,TS,TS_SH,SH,Holstein,61,61_80,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ,2,2,2
12,Paddlebridge,marney382_Paddlebridge,LF,marney382_Paddlebridge_LF,marney382_Paddlebridge_LF_first,3,1.17.2020,first,Paddlebridge,31,sa,yes1,NA,NA,NA,NA,NA,NA,1,pb025,staphylococcus aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,2,c,2,1800000,NA,NA,30,tntc,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,3,third,171,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,2,2,2
13,Swallowdale,diane_Swallowdale,RF,diane_Swallowdale_RF,diane_Swallowdale_RF_first,2,12.13.2019,first,Swallowdale,9,psychrobacter,yes1,NA,NA,NA,NA,NA,NA,1,sw013,psychrobacter species,yes_from_cns_to_psychrobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,NA,NA,NA,NA,3000,NA,NA,1,1,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,2,second,62,NA,1.4,BP,BP_WF,WC_FI,Other,82,81_105,14574,n,poor_fair,52,deep,n,80,535.12128,6.689016,1.388844039,fresh_raw,outside_uncovered,n,NA,NA,NA,0,NA,0.9,1.5,parlor,y,one,all,n,sometimes_temp,never,never,never,never,never,n,reg,NA,NA,NA
14,Swallowdale,dorian_Swallowdale,RF,dorian_Swallowdale_RF,dorian_Swallowdale_RF_first,4,12.13.2019,first,Swallowdale,13,strep,yes1,NA,NA,NA,NA,NA,NA,1,sw025,aerococcus viridans,no_sslo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,NA,NA,NA,NA,9000,NA,NA,3,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,4,fourth_plus,88,NA,1.4,BP,BP_WF,WC_FI,Other,82,81_105,14574,n,poor_fair,52,deep,n,80,535.12128,6.689016,1.388844039,fresh_raw,outside_uncovered,n,NA,NA,NA,0,NA,0.9,1.5,parlor,y,one,all,n,sometimes_temp,never,never,never,never,never,n,reg,NA,NA,NA
15,Glennview,79_Glennview,RF,79_Glennview_RF,79_Glennview_RF_first,4,1.14.2020,first,Glennview,33,micrococcus,yes1,NA,NA,NA,NA,NA,NA,1,gv046,micrococcus species,yes_from_cns_to_micrococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,j,2,c,3,22000,NA,NA,8,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,4,fourth_plus,86,3,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,2,3,2.5
16,Glennview,43_Glennview,LH,43_Glennview_LH,43_Glennview_LH_first,5,1.14.2020,first,Glennview,28,strep,yes1,NA,NA,NA,NA,NA,NA,1,gv040,streptococcus dysgalactiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,2,c,2,4400000,NA,NA,50,tntc,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,5,fourth_plus,127,2,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,2,2,2
17,OughtaBe,izzie_OughtaBe,RH,izzie_OughtaBe_RH,izzie_OughtaBe_RH_first,1,1.3.2020,first,OughtaBe,8,strep,yes1,NA,NA,NA,NA,NA,NA,1,ob005,aerococcus viridans,no_sslo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,3,c,3,2000,NA,NA,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,297,3,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,3,3,3
18,Choiniere,38_Choiniere,LH,38_Choiniere_LH,38_Choiniere_LH_first,4,12.11.2019,first,Choiniere,15,corynebac,yes1,NA,NA,NA,NA,NA,NA,1,cf030,corynebacterium casei,yes_from_?_to_corynebac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,3,c,2,0,NA,NA,30,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,4,fourth_plus,66,2,2.1,BP,BP_WF,WC_FI,Holstein,82,81_105,12000,y,poor_fair,15,deep,y,55,562.8528255,10.23368774,0.907786151,fresh_raw,NA,y,NA,NA,NA,3.5,10.16,1,1.2,tiestall,n,one,no_some,y,never,never,never,never,never,never,n,no,3,2,2.5
19,Paddlebridge,scrapie278_Paddlebridge,RF,scrapie278_Paddlebridge_RF,scrapie278_Paddlebridge_RF_first,5,1.17.2020,first,Paddlebridge,29,sa,yes1,NA,NA,NA,NA,NA,NA,1,pb022,staphylococcus aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,2,c,2,330000,NA,NA,6,3,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,5,fourth_plus,131,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,2,2,2
20,Paddlebridge,ferrari28_Paddlebridge,RH,ferrari28_Paddlebridge_RH,ferrari28_Paddlebridge_RH_first,1,1.17.2020,first,Paddlebridge,13,strep,yes1,NA,NA,NA,NA,NA,NA,1,pb006,streptococcus uberis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,3,c,2,2900000,NA,NA,tntc,tntc,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,126,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,3,2,2.5
21,BJ,cb5_BJ,RH,cb5_BJ_RH,cb5_BJ_RH_first,1,12.17.2019,first,BJ,5,strep,yes1,NA,NA,NA,NA,NA,NA,1,bj006,aerococcus viridans,no_sslo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,4,c,4,4000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,168,4,2.5,TS,TS_SH,SH,Holstein,61,61_80,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ,4,4,4
22,Glennview,193_Glennview,RF,193_Glennview_RF,193_Glennview_RF_first,1,1.14.2020,first,Glennview,10,corynebac,yes1,NA,NA,NA,NA,NA,NA,1,gv022,corynebacterium species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,4,c,4,3000,NA,NA,4,10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,100,4,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,4,4,4
23,Lynd,life_Lynd,LH,life_Lynd_LH,life_Lynd_LH_first,2,12.19.2019,first,Lynd,3,strep,yes1,NA,NA,NA,NA,NA,NA,1,lf002,streptococcus uberis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,NA,NA,NA,NA,80000,NA,13,16,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,2,second,99,NA,NA,BP,BP_SH,SH,Other,105,81_105,13000,n,excellent,10,deep,n,90,459.4,5.1,1.82,fresh_raw,outside_uncovered,n,NA,NA,NA,7,61,0.9,1.4,parlor,y,one,all,y,always,always,always,issue,sometimes_issue,onfarm,n,reg,NA,NA,NA
24,Choiniere,41_Choiniere,RH,41_Choiniere_RH,41_Choiniere_RH_second,9,1.21.2020,second,Choiniere,29,corynebac,yes2,NA,NA,NA,NA,NA,NA,1,cf123,corynebacterium casei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,1,c,1,4000,NA,NA,1,2,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,9,fourth_plus,142,2,2.1,BP,BP_WF,WC_FI,Holstein,82,81_105,12000,y,poor_fair,15,deep,y,55,562.8528255,10.23368774,0.907786151,fresh_raw,NA,y,NA,NA,NA,3.5,10.16,1,1.2,tiestall,n,one,no_some,y,never,never,never,never,never,never,n,no,1,1,1
25,Paddlebridge,shania291_Paddlebridge,LF,shania291_Paddlebridge_LF,shania291_Paddlebridge_LF_second,6,2.21.2020,second,Paddlebridge,25,sa,yes1,NA,NA,NA,NA,NA,NA,1,pb050,staphylococcus aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,m,2,c,2,6400000,NA,NA,3,6,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,6,fourth_plus,196,1,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,2,2,2
26,BJ,720_BJ,RF,720_BJ_RF,720_BJ_RF_second,3,1.29.2020,second,BJ,7,sa,yes1,NA,NA,NA,NA,NA,NA,1,bj034,staphylococcus aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,j,1,c,1,62000,NA,NA,1,4,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,3,third,172,2,2.5,TS,TS_SH,SH,Holstein,61,61_80,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ,1,1,1
27,Paddlebridge,likely30_Paddlebridge,RF,likely30_Paddlebridge_RF,likely30_Paddlebridge_RF_second,1,2.21.2020,second,Paddlebridge,18,strep,yes1,NA,NA,NA,NA,NA,NA,1,pb040,streptococcus uberis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,m,2,c,2,78000,NA,NA,tntc,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,138,1,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,2,2,2
28,Glennview,114_Glennview,LF,114_Glennview_LF,114_Glennview_LF_second,3,2.19.2020,second,Glennview,5,corynebac,yes1,NA,NA,NA,NA,NA,NA,1,gv053,corynebacterium casei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,m,3,c,2,40000,NA,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,3,third,160,2,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,3,2,2.5
29,OughtaBe,aloha_OughtaBe,RH,aloha_OughtaBe_RH,aloha_OughtaBe_RH_second,1,2.14.2020,second,OughtaBe,2,kocuria,yes1,NA,NA,NA,NA,NA,NA,1,ob057,kocuria species,yes_from_cns_to_kocuria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,t,2,c,2,10000,NA,NA,6,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,292,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,2,2
